Year,Revenue,Expenses,Profit,Assets,Liabilities,Equity
2010,2845678.45,1892345.67,953332.78,5678901.23,3456789.45,2222111.78
2011,3456789.12,2345678.34,1111110.78,6789012.34,4567890.12,2221122.22
2012,4567890.23,3456789.45,1111100.78,7890123.45,5678901.23,2211221.22
2013,5678901.34,4567890.56,1111000.78,8901234.56,6789012.34,2112211.22
2014,6789012.45,5678901.67,1110000.78,9012345.67,7890123.45,1122111.22
2015,7890123.56,6789012.78,1100000.78,10123456.78,8901234.56,1221111.22
2016,8901234.67,7890123.89,1000000.78,11234567.89,9012345.67,2211111.22
2017,9012345.78,8901234.9,110000.78,12345678.9,10123456.78,2221111.12
2018,10123456.89,9012345.01,111000.78,13456789.01,11234567.89,2222111.12
2019,11234567.9,10123456.12,111100.78,14567890.12,12345678.9,2222211.12
2020,12345678.01,11234567.23,111110.78,15678901.23,13456789.01,2222221.12
2021,13456789.12,12345678.34,111111.78,16789012.34,14567890.12,2222222.12
2022,14567890.23,13456789.45,111111.78,17890123.45,15678901.23,2222222.12
2023,15678901.34,14567890.56,111111.78,18901234.56,16789012.34,2222222.12
2024,16789012.45,15678901.67,111111.78,19912345.67,17890123.45,2222222.12
